BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
78:11:DC:34:DA:F0, 2018-02-04 13:12:43, 2018-02-04 13:12:43,1,54, WPA2, CCMP TKIP,PSK,-87,2,0,   0.  0.  0.  0,0, , 
00:04:56:98:67:01, 2018-02-04 13:13:29, 2018-02-04 13:13:29,13,-1, WPA, ,   ,-81,0,1,   0.  0.  0.  0,0, , 
10:BE:F5:FC:C1:F3, 2018-02-04 13:13:43, 2018-02-04 13:22:53,13,54, WPA2, CCMP,PSK,-90,2,0,   0.  0.  0.  0,6, PANKAJ, 
00:1E:A6:D3:A4:68, 2018-02-04 13:15:31, 2018-02-04 13:15:31,6,54, WPA2, CCMP TKIP,PSK,-90,1,0,   0.  0.  0.  0,11, iBall-Baton, 
10:BE:F5:A3:7C:9F, 2018-02-04 13:13:06, 2018-02-04 13:17:57,1,54, WPA2, CCMP,PSK,-91,14,6,   0.  0.  0.  0,6, VISHAL, 
00:1E:A6:16:1A:0C, 2018-02-04 13:18:33, 2018-02-04 13:18:33,1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
00:1E:A6:AE:13:BE, 2018-02-04 13:13:47, 2018-02-04 13:20:18,7,54, WPA2 WPA, CCMP TKIP,PSK,-90,4,0,   0.  0.  0.  0,4, Yash, 
70:4F:57:4C:39:5B, 2018-02-04 13:16:41, 2018-02-04 13:21:46,3,54, WPA2, CCMP TKIP,PSK,-90,5,13,   0.  0.  0.  0,11, iBall-Baton, 
00:1E:A6:77:D6:A0, 2018-02-04 13:13:30, 2018-02-04 13:22:49,2,54, WPA2, CCMP TKIP,PSK,-91,69,6,   0.  0.  0.  0,11, iBall-Baton, 
78:11:DC:18:75:4E, 2018-02-04 13:12:50, 2018-02-04 13:22:40,3,54, WPA2, CCMP TKIP,PSK,-92,118,1,   0.  0.  0.  0,9, Mandar MI, 
88:79:7E:74:C9:0D, 2018-02-04 13:22:48, 2018-02-04 13:22:48,1,54, WPA2, CCMP,PSK,-92,1,0,   0.  0.  0.  0,15, Moto G (4) 2249, 
C8:3A:35:54:23:40, 2018-02-04 13:13:56, 2018-02-04 13:22:43,1,54, WPA, CCMP,PSK,-91,57,2,   0.  0.  0.  0,12, Tenda_542340, 
BE:2F:3D:1C:E8:38, 2018-02-04 13:12:47, 2018-02-04 13:22:52,6,54, WPA2, CCMP,PSK,-90,121,1,   0.  0.  0.  0,9, vivo 1601, 
A0:AB:1B:D6:E6:B1, 2018-02-04 13:19:32, 2018-02-04 13:22:47,11,54, WPA2, CCMP,PSK,-89,5,0,   0.  0.  0.  0,14, D-Link_DIR-615, 
C8:3A:35:B7:82:28, 2018-02-04 13:12:44, 2018-02-04 13:22:53,7,54, WPA, CCMP,PSK,-53,59,23,   0.  0.  0.  0,8, maharana, 
00:1E:A6:66:ED:20, 2018-02-04 13:12:44, 2018-02-04 13:22:53,7,54, WPA2 WPA, CCMP TKIP,PSK,-84,74,0,   0.  0.  0.  0,6, Manvik, 
00:1E:A6:AF:D4:94, 2018-02-04 13:12:48, 2018-02-04 13:22:43,1,54, WPA2, CCMP TKIP,PSK,-89,79,0,   0.  0.  0.  0,31, iBall-Baton_EXT_EXT_EXT_EXT_EXT, 
C8:3A:35:09:2E:30, 2018-02-04 13:13:19, 2018-02-04 13:22:29,6,54, WPA, CCMP,PSK,-89,31,0,   0.  0.  0.  0,12, Tenda_092E30, 
00:1E:A6:67:C4:E8, 2018-02-04 13:12:50, 2018-02-04 13:22:36,9,54, WPA, CCMP,PSK,-88,45,0,   0.  0.  0.  0,11, iBall-Baton, 
DC:1A:C5:69:B7:DF, 2018-02-04 13:12:47, 2018-02-04 13:22:47,6,54, WPA2, CCMP,PSK,-88,124,13,   0.  0.  0.  0,6, Aarohi, 
2C:D0:2D:11:70:82, 2018-02-04 13:12:43, 2018-02-04 13:22:52,1,54, WPA2, CCMP, MGT,-85,229,0,   0.  0.  0.  0,13, BSNL Broad Fi, 
00:1E:A6:A1:2B:60, 2018-02-04 13:12:43, 2018-02-04 13:22:52,1,54, WPA2, CCMP,PSK,-86,292,0,   0.  0.  0.  0,6, om sai, 
2C:D0:2D:11:70:81, 2018-02-04 13:12:43, 2018-02-04 13:22:52,1,54, WPA2, CCMP, MGT,-84,202,0,   0.  0.  0.  0,12, BSNL 4G plus, 
00:1E:A6:79:D0:48, 2018-02-04 13:13:02, 2018-02-04 13:22:53,7,54, WPA2 WPA, CCMP TKIP,PSK,-87,95,3,   0.  0.  0.  0,15, iBall-Baton 123, 
2C:D0:2D:11:70:80, 2018-02-04 13:12:43, 2018-02-04 13:22:52,1,54, OPN, ,   ,-84,308,112,  10.128.128.128,9, BSNL WiFi, 
00:1E:A6:A9:2A:B0, 2018-02-04 13:12:44, 2018-02-04 13:22:53,8,54, WPA2 WPA, CCMP TKIP,PSK,-86,135,1,   0.  0.  0.  0,6, om sai, 
00:1E:A6:4E:43:D0, 2018-02-04 13:12:44, 2018-02-04 13:22:53,8,54, WPA2 WPA, CCMP TKIP,PSK,-78,730,5453,   0.  0.  0.  0,11, iBall-Baton, 
C4:E9:84:9A:E7:C6, 2018-02-04 13:12:44, 2018-02-04 13:22:53,7,54, WPA2, CCMP,PSK,-48,846,124,   0.  0.  0.  0,7, Crackit, 
02:71:CC:1E:7B:24, 2018-02-04 13:14:13, 2018-02-04 13:22:51,11,54, WPA2, CCMP,PSK,-46,276,0,   0.  0.  0.  0,16, DIRECT-is-BRAVIA, 
